id,name,height,weight,base_experience,is_default
1,bulbasaur,7,69,64,True
2,ivysaur,10,130,142,True
3,venusaur,20,1000,236,True
4,charmander,6,85,62,True
5,charmeleon,11,190,142,True
6,charizard,17,905,240,True
7,squirtle,5,90,63,True
8,wartortle,10,225,142,True
9,blastoise,16,855,239,True
10,caterpie,3,29,39,True
11,metapod,7,99,72,True
12,butterfree,11,320,178,True
13,weedle,3,32,39,True
14,kakuna,6,100,72,True
15,beedrill,10,295,178,True
16,pidgey,3,18,50,True
17,pidgeotto,11,300,122,True
18,pidgeot,15,395,216,True
19,rattata,3,35,51,True
20,raticate,7,185,145,True
21,spearow,3,20,52,True
22,fearow,12,380,155,True
23,ekans,20,69,58,True
24,arbok,35,650,157,True
25,pikachu,4,60,112,True
26,raichu,8,300,218,True
27,sandshrew,6,120,60,True
28,sandslash,10,295,158,True
29,nidoran-f,4,70,55,True
30,nidorina,8,200,128,True
31,nidoqueen,13,600,227,True
32,nidoran-m,5,90,55,True
33,nidorino,9,195,128,True
34,nidoking,14,620,227,True
35,clefairy,6,75,113,True
36,clefable,13,400,217,True
37,vulpix,6,99,60,True
38,ninetales,11,199,177,True
39,jigglypuff,5,55,95,True
40,wigglytuff,10,120,196,True
41,zubat,8,75,49,True
42,golbat,16,550,159,True
43,oddish,5,54,64,True
44,gloom,8,86,138,True
45,vileplume,12,186,221,True
46,paras,3,54,57,True
47,parasect,10,295,142,True
48,venonat,10,300,61,True
49,venomoth,15,125,158,True
50,diglett,2,8,53,True
51,dugtrio,7,333,149,True
52,meowth,4,42,58,True
53,persian,10,320,154,True
54,psyduck,8,196,64,True
55,golduck,17,766,175,True
56,mankey,5,280,61,True
57,primeape,10,320,159,True
58,growlithe,7,190,70,True
59,arcanine,19,1550,194,True
60,poliwag,6,124,60,True
61,poliwhirl,10,200,135,True
62,poliwrath,13,540,230,True
63,abra,9,195,62,True
64,kadabra,13,565,140,True
65,alakazam,15,480,225,True
66,machop,8,195,61,True
67,machoke,15,705,142,True
68,machamp,16,1300,227,True
69,bellsprout,7,40,60,True
70,weepinbell,10,64,137,True
71,victreebel,17,155,221,True
72,tentacool,9,455,67,True
73,tentacruel,16,550,180,True
74,geodude,4,200,60,True
75,graveler,10,1050,137,True
76,golem,14,3000,223,True
77,ponyta,10,300,82,True
78,rapidash,17,950,175,True
79,slowpoke,12,360,63,True
80,slowbro,16,785,172,True
81,magnemite,3,60,65,True
82,magneton,10,600,163,True
83,farfetchd,8,150,132,True
84,doduo,14,392,62,True
85,dodrio,18,852,165,True
86,seel,11,900,65,True
87,dewgong,17,1200,166,True
88,grimer,9,300,65,True
89,muk,12,300,175,True
90,shellder,3,40,61,True
91,cloyster,15,1325,184,True
92,gastly,13,1,62,True
93,haunter,16,1,142,True
94,gengar,15,405,225,True
95,onix,88,2100,77,True
96,drowzee,10,324,66,True
97,hypno,16,756,169,True
98,krabby,4,65,65,True
99,kingler,13,600,166,True
100,voltorb,5,104,66,True
101,electrode,12,666,172,True
102,exeggcute,4,25,65,True
103,exeggutor,20,1200,186,True
104,cubone,4,65,64,True
105,marowak,10,450,149,True
106,hitmonlee,15,498,159,True
107,hitmonchan,14,502,159,True
108,lickitung,12,655,77,True
109,koffing,6,10,68,True
110,weezing,12,95,172,True
111,rhyhorn,10,1150,69,True
112,rhydon,19,1200,170,True
113,chansey,11,346,395,True
114,tangela,10,350,87,True
115,kangaskhan,22,800,172,True
116,horsea,4,80,59,True
117,seadra,12,250,154,True
118,goldeen,6,150,64,True
119,seaking,13,390,158,True
120,staryu,8,345,68,True
121,starmie,11,800,182,True
122,mr-mime,13,545,161,True
123,scyther,15,560,100,True
124,jynx,14,406,159,True
125,electabuzz,11,300,172,True
126,magmar,13,445,173,True
127,pinsir,15,550,175,True
128,tauros,14,884,172,True
129,magikarp,9,100,40,True
130,gyarados,65,2350,189,True
131,lapras,25,2200,187,True
132,ditto,3,40,101,True
133,eevee,3,65,65,True
134,vaporeon,10,290,184,True
135,jolteon,8,245,184,True
136,flareon,9,250,184,True
137,porygon,8,365,79,True
138,omanyte,4,75,71,True
139,omastar,10,350,173,True
140,kabuto,5,115,71,True
141,kabutops,13,405,173,True
142,aerodactyl,18,590,180,True
143,snorlax,21,4600,189,True
144,articuno,17,554,261,True
145,zapdos,16,526,261,True
146,moltres,20,600,261,True
147,dratini,18,33,60,True
148,dragonair,40,165,147,True
149,dragonite,22,2100,270,True
150,mewtwo,20,1220,306,True
151,mew,4,40,270,True
152,chikorita,9,64,64,True
153,bayleef,12,158,142,True
154,meganium,18,1005,236,True
155,cyndaquil,5,79,62,True
156,quilava,9,190,142,True
157,typhlosion,17,795,240,True
158,totodile,6,95,63,True
159,croconaw,11,250,142,True
160,feraligatr,23,888,239,True
161,sentret,8,60,43,True
162,furret,18,325,145,True
163,hoothoot,7,212,52,True
164,noctowl,16,408,158,True
165,ledyba,10,108,53,True
166,ledian,14,356,137,True
167,spinarak,5,85,50,True
168,ariados,11,335,140,True
169,crobat,18,750,241,True
170,chinchou,5,120,66,True
171,lanturn,12,225,161,True
172,pichu,3,20,41,True
173,cleffa,3,30,44,True
174,igglybuff,3,10,42,True
175,togepi,3,15,49,True
176,togetic,6,32,142,True
177,natu,2,20,64,True
178,xatu,15,150,165,True
179,mareep,6,78,56,True
180,flaaffy,8,133,128,True
181,ampharos,14,615,230,True
182,bellossom,4,58,221,True
183,marill,4,85,88,True
184,azumarill,8,285,189,True
185,sudowoodo,12,380,144,True
186,politoed,11,339,225,True
187,hoppip,4,5,50,True
188,skiploom,6,10,119,True
189,jumpluff,8,30,207,True
190,aipom,8,115,72,True
191,sunkern,3,18,36,True
